Frame,Time,Mean_ROI_001,Mean_ROI_002,Mean_ROI_003,Mean_ROI_004,Mean_ROI_005,Mean_ROI_006,Mean_ROI_007,Mean_ROI_008,Mean_ROI_009,Mean_ROI_010
114,13.57142857,27365.75,27440.5102,28672.79433,28798.05833,28603.98601,28807.35644,28834.32178,28830.38636,27079.12105,31177.12715
115,13.69047619,27284.22,27354.34694,28454.40426,28552.9,28754.65734,29151.9802,28634.79208,28761.18182,27190.16316,30880.85223
116,13.80952381,27101.23,27237.93878,28167.07092,29028.175,28562.72727,29242.05941,28637.36634,28352.86364,27192.72105,30717.61512
117,13.92857143,27257.5,27260.53061,28276.48936,28476.05833,28461.93706,28663.50495,28428.54455,28379.77273,27097.51053,30434.38144
118,14.04761905,27288.01,27551.46939,28882.75177,29105.31667,28562.52448,28584.9604,28804.54455,28580.24351,27055.34737,30749.35052
119,14.16666667,27225.53,27339.2449,28773.6383,28471.375,29040.95105,28924.73267,28551.9901,28882.35714,27067.34211,30898.69416
120,14.28571429,27303.87,27339.5102,28608.47518,28599.05833,28813.77622,28933.13861,28568.67822,28704.92857,27138.16842,30806.18557
121,14.4047619,27395.27,27205.7551,28469.24113,29369.225,28807.02797,28613.29703,28569.91584,28673.56818,27100.00526,31509.82474
122,14.52380952,27238.4,27319.77551,28786.58865,29547.775,28645.51049,28712.52475,28619.60396,28346.08766,27057.93158,30826.05842
123,14.64285714,27135.73,27309.16327,28077.25532,29304.69167,28844.7972,28450.25743,28627.78218,28472.44805,27106.47368,30950.39863
124,14.76190476,27403.82,27221.04082,28075.93617,28845.3,28887.42657,29496.13861,28545.74257,28529.39286,27013.83684,30886.83162
125,14.88095238,27451.43,27284.14286,28339.56028,29156.95833,28962.42657,28675.19802,28513.81683,28474.71429,27020.17368,31007.03093
126,15,27224.89,27324,28137.71631,28722.23333,28877.73427,28786.81188,28731.28218,28698.87987,27080.38421,31242.46048
127,15.11904762,27072.14,27421.89796,28402.1844,29264.10833,28830.76224,28834.48515,28572.99505,28551.87987,26969.44211,31194.09622
128,15.23809524,27289.41,27141.02041,28393.23404,28843.63333,28746.41259,28662.89109,28843.12376,28346.59091,27100.08947,31169.59107
129,15.35714286,27272.02,27237.20408,28037.78723,28943.28333,28997.67832,29283.0495,28441.90099,28377.42532,26952.2,30588.99656
130,15.47619048,27410.47,27329.20408,27898.58865,29100.11667,29108.11888,29173.32673,28431.20297,28236.68831,27126.14211,30425.72852
131,15.5952381,27566.81,27377.65306,28032.39007,28950.625,28547.12587,28926.9802,28643.89604,28534.01623,27044.05263,30740.51546
132,15.71428571,27275.75,27278.55102,28238.17021,29300.625,29139.32168,29212.90099,28836.94554,28209.89286,26928.01053,30553.05498
133,15.83333333,27318.89,27240.81633,28340.04255,28803.95833,29481.16084,29303.85149,28630.42574,28165.45779,27082.18947,30655.82131
134,15.95238095,27142.47,27047.28571,28512.8156,28759.33333,29258.18182,29336.61386,28707.12376,28613.86688,27055.84211,30869.15464
135,16.07142857,27328.42,27268.4898,28223.19149,28680.76667,28833.24476,29256.73267,28622.12871,28669.41558,27035.07895,30804.67698
136,16.19047619,27277.03,27357.91837,28438.24823,28541,28613.11888,29083.82178,28455.78218,28308.06818,27081.3,30764.08935
137,16.30952381,27191.69,27038.16327,28666.77305,28629.01667,28838.41958,29348.21782,28664.36139,28454.0974,26990.7,30412.93127
138,16.42857143,27546.28,27145.34694,27932.6383,29163.75,28778.46853,29610.9802,28653.40594,28438.10065,27012.53684,30587.28866
139,16.54761905,27255.57,27133.71429,28237.14894,28802.93333,28699.39161,29220.0099,28557.45545,28439.82468,27174.12105,30813.33677
140,16.66666667,27491.01,27351.83673,28158.21986,28639.23333,28468.9021,29145.30693,28733.65347,28396.53247,27042.7,30897.83162
141,16.78571429,27236.74,27436.28571,28169.76596,28580.36667,28564.87413,29274.36634,28442.82178,28689.51299,27170.17368,31070.19588
142,16.9047619,27443.23,27059.53061,28018.95035,28600.375,28604.6993,29277.19802,28605.29703,28349.10714,27120.04211,30761.43299
143,17.02380952,27202.12,27355.85714,28162.11348,28591.03333,28397.52448,29383.69307,28549.25248,28475.40584,27068.33158,30524.1134
144,17.14285714,27319.77,27422.38776,27949.2695,28738.275,28570.51748,29177.09901,28546.32178,28652.02597,27105.81579,30488.68041
145,17.26190476,27493.09,27374.38776,27818.22695,28464.55833,28775.94406,28894.36634,28507.80693,28040.70779,27107.83158,30754.82131
146,17.38095238,27489.66,27290.63265,28320.58865,28786.95,28351.72028,29288.22772,28407.59901,28578.1461,27006.44737,30822.09278
147,17.5,27258.83,27316.46939,28093.6383,28629.61667,28864.94406,29173.21782,28452.90594,28325.03896,27157.69474,30391.43643
148,17.61904762,27247.6,27129.16327,28274.21277,28600.775,28404.96503,29015.88119,28519.08416,28766.96753,27194.47368,30428.14433
149,17.73809524,27373.36,27432.08163,28274.2766,28559.575,29026.67832,28924.15842,28507.5396,28984.6039,27050.53684,30439.08591
150,17.85714286,27017.16,27397.81633,28240.78723,28229.93333,28948.33566,29466.07921,28383.64851,28490.00649,27203.61053,30733.19588
151,17.97619048,27340.78,27428.22449,28173.49645,28648.225,28523.17483,29402.70297,28532.35149,28511.48052,27136.69474,30192.98282
152,18.0952381,27247.42,27344.10204,28292.21277,28886.46667,28768.69231,29106.22772,28477.34653,28344.85714,27115.28421,30410.12027
153,18.21428571,27374.91,27386.79592,28026.7305,28603.31667,29008.93007,29230.25743,28757.88119,28258.0487,27260.96842,30813.99656
154,18.33333333,27488.36,27321.30612,28478.35461,28903.175,28443.13287,28861.41584,28683.40594,28355.94805,27142.37368,30799.16151
155,18.45238095,27387.34,27234.79592,28239.19858,28588.60833,28590.32168,29226.68317,28431.11881,28372.67532,27249.97895,30208.53608
156,18.57142857,27221.07,27303.12245,27811.70213,28649.95,28448.74825,29032.44554,28465.42574,28507.18506,27112.61053,30250.58419
157,18.69047619,27329.92,27410.14286,27846.58865,28528.6,28416.53846,28665.68317,28566.13861,28515.38961,27197.05263,30521.97595
158,18.80952381,27385.73,27367.42857,27931.02128,28749,28290.36364,28850.23762,28666.86634,28345.87662,26970.82632,30852.23711
159,18.92857143,27547.89,27539.12245,28348.82979,28830.16667,28931.43357,28862.50495,28462.25743,28044.31494,27114.86316,30546.62543
160,19.04761905,27425.67,27494.32653,28237.02128,28550.875,28691.03497,28808.92079,28786.08416,28463.43182,27131.12105,30882.56014
161,19.16666667,27328.64,27405.53061,28181.07092,28616.83333,28227.0979,28607.45545,28481.05941,28235.5,27196.3,31198.70447
162,19.28571429,27365.64,27436.28571,28447.31206,28760.03333,28076.25874,29165.15842,28398.36139,28361.63636,27279.62105,30718.65979
163,19.4047619,27258.85,27368.28571,28524.60993,28352.90833,28895.14685,28969.44554,28758.90099,28654.1526,27259.67368,31495.44674
164,19.52380952,27407.04,27663.26531,28240.63121,28841.78333,28788.95804,29005.70297,28576.60891,28345.51299,27203.49474,31229.43643
165,19.64285714,27286.4,27397.59184,28108.12766,28643.475,28521.03497,28915.57426,28435.86634,28253.76299,27225.07895,30710.189
166,19.76190476,27165.83,27442.30612,28324.46809,29034.08333,28377.65734,29323.30693,28713.10891,28412.1461,27185.90526,31016.52234
167,19.88095238,27514.91,27743.81633,28371.29078,28347.775,28471.72028,29254.37624,28656.70297,28418.73052,27136.9,31401.70103
168,20,27393.14,27356.44898,28651.62411,28943.11667,28687.6014,29086.26733,28744.48515,28313.38636,27232.1,31198.811
169,20.11904762,27230.92,27562.91837,28154.00709,28692.075,28375.23077,28839.48515,28420.66832,28551.6039,27299.58947,30597.50172
170,20.23809524,27517.56,27439.32653,28236.8227,28461.025,28772.16783,28959.15842,28689.4802,28287.06494,27201.28421,30608.15808
171,20.35714286,27262.48,27592.46939,28490.10638,28819.675,28943.08392,29565.18812,28625.11881,28550.80195,27122.70526,31050.76632
172,20.47619048,27195.37,27420.32653,28297.76596,28589.06667,28805.2028,29081.39604,28591.88614,28377.22727,27064.22105,31246.63918
173,20.5952381,27349.44,27417.79592,28601.17021,28965.325,28721.46154,29220.05941,28499.9604,28593.43506,27297.78947,31333.95876
174,20.71428571,27291.83,27373.83673,28113.05674,28990.65,28593.01399,28904.15842,28790.37624,28488.86039,27155.54737,30923.11684
175,20.83333333,27358.63,27370.71429,28155.97163,28553.60833,28417.60839,29081.44554,28455.16337,28510.48701,27276.82632,31100.71821
176,20.95238095,27327.58,27519.69388,28370.46099,28887.18333,28463.07692,29242.31683,28762.93564,28464.75974,27146.84211,30170.98969
177,21.07142857,27473.87,27498.36735,28341.07801,28702.5,28439.86014,28790.73267,28852.95545,28256.72403,27244.94737,30503.6701
178,21.19047619,27233.59,27395.38776,28109.40426,28964.04167,28823.3986,28788.42574,28501.64851,28212.85714,27230.91579,30713.33333
179,21.30952381,27153.23,27656.34694,28127.84397,28595.74167,28503.23776,28969.73267,28682.66337,28034.93506,27068.12632,31410.94158
180,21.42857143,27324.5,27315.71429,28547.75887,28806.975,28959.29371,29172.39604,28583.9505,28828.16234,27168.46842,31340.32302
181,21.54761905,27296.59,27413.04082,28474.5461,28805.825,28570.93007,29254.24752,28661.89604,28039.81494,27114.37895,30481.00344
182,21.66666667,27205.81,27259.53061,28269.10638,28950.6,28858.69231,29212.9901,28541.5,28564.11688,27134.18947,30607.35395
183,21.78571429,27259.06,27346.42857,28318.34043,28699.125,29154.13986,29041.58416,28560.5198,28298.86364,27161.91579,31168.74227
184,21.9047619,27376.34,27239.26531,28151.78014,28802.05,28854.56643,29017.89109,28630.12376,28533.12987,27117.16842,30633.64948
185,22.02380952,27236.3,27457.38776,28635.2766,29039.66667,28892.48252,29166.10891,28710.38614,28437.37013,27102.52105,31017.27148
186,22.14285714,27355.98,27383.57143,28043.9078,29003.475,28723.45455,29515.28713,28703.93564,28525.77597,27010.16316,30561.08591
187,22.26190476,27450.21,27366.79592,28420.03546,28991.89167,29393.71329,29419.06931,28601.88614,28384.73052,27086.93158,30816.32302
188,22.38095238,27296.59,27357.93878,27981.04255,28565.19167,29016.77622,29236.0495,28721.09406,28531.88312,27005.83684,31032.87629
189,22.5,27556.21,27229.20408,28373.63121,28379.5,28783.92308,29340.10891,28671.42079,28569.51948,27117.11579,30437.89347
190,22.61904762,27291.65,27410.14286,28135.25532,28663.15833,28828.67832,29341.75248,28454.86139,28464.79545,27257.97368,30764.30584
191,22.73809524,27387.58,27304.61224,28295.3617,28923.84167,28783.72727,29197.89109,28702.06931,28385.01299,27047.98947,30971.82818
192,22.85714286,27219.15,27404.55102,28156.75887,28584.74167,28603.40559,29135.58416,28518.30198,28248.90909,27211.61579,30494.7732
193,22.97619048,27552.55,27492.38776,28506.56028,28619.45,29218.02098,28959.12871,28314.21782,28352.87987,27220.61579,31318.52921
194,23.0952381,27581.54,27526.63265,28399.89362,28809.6,28691.35664,28983.08911,28863.63861,28366.8474,27068.1,30836.43299
195,23.21428571,27846.14,27386.61224,28185.70922,28908.375,28673.91608,29130.63366,28732.90594,28316.28896,27211.88421,30796.29897
196,23.33333333,28011.76,27367.22449,28037.49645,29009.31667,29149.61538,28639.73267,28716.43069,28278.93506,27239.35263,31041.88316
197,23.45238095,27766.49,27271.22449,27955.83688,28803.775,29274.32168,28745.06931,28879.18812,28171.37338,27273.36316,30729.4811
198,23.57142857,27903.23,27381.61224,28217.46809,28720.38333,28735.99301,28945.17822,28528.4505,28205.56494,27120.62105,30423.91409
199,23.69047619,27980.05,27390.04082,28569.22695,29214.975,29244.40559,29506.51485,28536.40594,28290.5974,27111.67895,30527.21993
200,23.80952381,28207.48,27385.40816,28192.04965,29625.16667,28725.44056,28871.58416,28393.75743,28330.21429,27041.63684,30344.80069
201,23.92857143,28271.45,27320.42857,28145.67376,29599.975,29198.81818,28957.72277,28762.79703,28261.71429,27390.50526,31137
202,24.04761905,28233.29,27327.32653,27896.29078,29213.76667,28463.76923,28831.85149,28325.69307,28435.22078,27108.54737,30996.67698
203,24.16666667,28004.69,27284.89796,27885.75887,29223.55833,28574.63636,28658.90099,28255.59901,28247.32143,27073.86842,30316.32302
204,24.28571429,28454,27649.77551,27915.1844,29623.43333,29282.23776,29304.0198,28453.17327,28277.51299,27278.08947,31094.67698
205,24.4047619,28472.93,27438.26531,27993.24113,28890.15,28809.77622,28721.19802,28413.90099,28344.95455,27000.26316,30755.46048
206,24.52380952,28405.6,27295.85714,28095.34043,28944.4,28492.15385,28579.85149,28394.87129,28637.35714,27182.46842,30536.27148
207,24.64285714,28571.51,27183.16327,27919.41844,29165.66667,28738.64336,29124.56436,28631.39604,28380.60714,27181.43158,30785.28866
208,24.76190476,28609.12,27389.89796,28104.64539,29655.95,28903.56643,28819.75248,28360.76238,28253.45455,27105.04211,30828.42612
